id	createdAt	username	forum	raw_message
4741257789	2020-01-01T05:01:05	None	istheservicedown	@ask spectrum 909 area code WiFi down
4741261306	2020-01-01T05:09:13	disqus_19BzAYX3qd	istheservicedown	Internet has been down 13 hours in Decatur, GA
4741263669	2020-01-01T05:14:54	disqus_19BzAYX3qd	istheservicedown	Internet down 13 hours in 30030
4741266794	2020-01-01T05:22:29	disqus_neOURMuvcm	istheservicedown	NBC not playing audio for some reason
4741276534	2020-01-01T05:47:16	None	istheservicedown	46041 internet outage for three days. Called and have service ticket for Friday, 1/3/20. SSL light goes from red to flashing green. Frustrating!
4741279253	2020-01-01T05:54:38	None	istheservicedown	PEOPLE SWITCH TO VERIZON
4741282668	2020-01-01T06:03:50	None	istheservicedown	Full outage 27893
4741288286	2020-01-01T06:20:12	None	istheservicedown	Service out in Sultan WA for last 3 hours
4741291931	2020-01-01T06:31:07	jypsyjesssapphire	istheservicedown	Internet and TV down in 61610; it’s been down since midnight.
4741295166	2020-01-01T06:40:44	jypsyjesssapphire	istheservicedown	Internet and TV down in 61610 since 12:14AM CENTRAL.
4741295570	2020-01-01T06:41:57	disqus_xVOPU8TJbE	istheservicedown	No tv internet. Went out 12 tonight crestview fl
4741301239	2020-01-01T07:00:04	kittysupersuper	istheservicedown	Internet down in the Bronx, 10471 since around 1:10 am new years day
4741303730	2020-01-01T07:08:01	dannyshearer	istheservicedown	No internet, tv and phone at 97391 at 11pm pacific.
4741304177	2020-01-01T07:09:30	dannyshearer	istheservicedown	They can do a safety and welfare check.
4741306862	2020-01-01T07:18:01	None	istheservicedown	Same
4741334216	2020-01-01T08:45:09	None	istheservicedown	El cajon ca is still down. No data...
4741353431	2020-01-01T09:46:25	None	istheservicedown	TV picture breaks up. Changing channels is difficult. It scrolls with difficulty, and won't go to channels selected on the remote.(Netflix and YouTube work normally, so TV and remotes are OK. Internet connection is good.)
4741368791	2020-01-01T10:33:20	ariqbrady	istheservicedown	Internet in Cottage grove 97424 went out about 25 mins ago.
4741376364	2020-01-01T10:55:32	None	istheservicedown	Actually, you can call the police on their local number, not 911, and it won’t be an emergency. Not all police or fire department related issues need a 911 call, but should still be utilized when there is a necessity for a call.
4741377607	2020-01-01T10:59:00	None	istheservicedown	Called Spectrum and had a wonderful chat with a bubbly A.I. who told me most joyfully that my internet service was out but their technicians were working on it.  She also mentioned that their customer service representatives couldn't help me.  I feel like Spectrum is asking me to be happy while they screw me over.  You'd better believe I'm still getting charged for the outage time and if they want me to believe they have crews out fixing this on New Years Eve then I have beach front property on the moon to sell them...for a reduced price since they're my BFF.
4741420769	2020-01-01T12:50:38	bobofbayou	istheservicedown	No internet in Cottonport, LA 71327.  Internet has been very intermittent last few days.  This morning has been completely out.
4741434726	2020-01-01T13:19:52	disqus_uW2KPcGikZ	istheservicedown	No 4 G service in Newnan GA area for many days.
4741436118	2020-01-01T13:22:47	None	istheservicedown	Complete blackout (Eugene OR) since 2pm 12/31/19, hope they get it fixed before the Rose Bowl!  Frustrating!
4741436290	2020-01-01T13:23:08	None	istheservicedown	Still no internet in zip code 98294
4741441012	2020-01-01T13:32:26	jeff_jenks	istheservicedown	Not downloading content of messages since midnight 01-01-20 for 48070
4741448062	2020-01-01T13:46:04	tomekacelestine	istheservicedown	Mailed a priority flat rate envelope of very important military documents from Americus, GA to Porrsmouth, VA on December 17th. The mail left Americus, GA that evening and was never updated again except for on Dec  21st stating that the package was in transit to the next facility and final destination.  I can understand if USPS got overwhelmed with all the mail during the holidays and still have mail sitting at distribution facilities waiting to be processed, but just be honest and allow your employees  to say so!! What's the use of telling customers to track their packages online if you're not going to scan them into the system. I would have greatly appreciated being told at the post office on December 17th that the mail delivery was already really behind.I honestly blame the suits and ties at USPS for probably instructing their employees to keep their mouths shut and not tell customers the truth about all the mail delays in order to keep making sales.  I know how the higher ups like to keep everything from the public in order to protect their company while the employees at the post office that work the window take all the heat and blame from the customers! Yes, I  did send an email for the missing mail and was contacted . It's funny how she couldn't tell me what distribution facility my mail was delivered to on December 17th after it left Americus, GA. Here's my tracking number if anybody at USPS cares#9505511458539351248450. I'm still hoping for the best outcome.
4741458179	2020-01-01T14:05:03	lucy_m_lopez	istheservicedown	Internet is not working, the red light is on.
4741484494	2020-01-01T14:48:29	None	istheservicedown	Service has been HORRIBLE period... Cant use internet unless connected to wifi ... Can't text pictures.. Can't even open sprint app.  I was in Chattanooga for vacation, NO SERVICE... I pay too much for so many issues 🙄
4741497534	2020-01-01T15:08:31	alengle	istheservicedown	Internet is down in 50320
4741508073	2020-01-01T15:23:53	None	istheservicedown	Cannot receive or call out. Also texting not workingCell tower defective rt 78 Lockport ny
4741510067	2020-01-01T15:26:49	None	istheservicedown	Optimum sucks! We lost internet and cable on Monday night and they still haven’t called to even schedule a technician! Ridiculous. When you contact them they say there is nothing they can do - wait for dispatch. Needless to say, I called FIOS and they are coming next week. 30+ years as a cable vision/optimum customer. Finally it’s  time to let them go. Happy 2020!
4741514254	2020-01-01T15:32:39	None	istheservicedown	How can every channel be unavailable?  I can't even access the recorded shows.
4741521185	2020-01-01T15:42:17	None	istheservicedown	32837 no internet
4741557877	2020-01-01T16:30:02	None	istheservicedown	The internet has been out in my house/zone for 4 days in Central Ohio.
4741566076	2020-01-01T16:40:34	derya_atmaca	istheservicedown	Internet and tv down zip 33180
4741581015	2020-01-01T16:59:14	None	istheservicedown	No internet in 48505 flint mi plz fix this s**t
