,id,date,time,timezone,geo,usr_location,text
0,1300502748048297986,2020-08-31,14:36:31,EDT,,Pacific Northwest  ,"We don’t have a documented large outage in your area, currently. We recommend bringing this to the attention of our technical support team at 866-947-5995 for trouble shooting. Thank you.
"
1,1300497670096650246,2020-08-31,14:16:21,EDT,,"Mumbai, Maharashtra","They had different scenario. It wasn't global outage at all. They should have continued ✌️ but still respect for Armenia.. Such a strong team with Levon 🔥
"
2,1300491720304390144,2020-08-31,13:52:42,EDT,,"Bay Area, CA","(6) But don't be the sucker who buys on the split simply because the price dropped. Be smart, trade with a reputable broker who doesn't have outages and who will get you the stock at the price you see. Most brokerages don't have commission trade fees anymore either.
"
3,1300491305697644545,2020-08-31,13:51:03,EDT,,,"LOL professors are something else I had a professor who said to look at the weather forecast beforehand to avoid a power outage. Pretty much said to figure it out if you don't have power during a hurricane. Yes ok sir, lemme leave the state real quick. 🥴🥴🥴  https://twitter.com/mtvadriaan/status/1300188561711398912 …
"
4,1300489977726287873,2020-08-31,13:45:47,EDT,,Scottsdale,"We’ve had periodic AT&T phone outages in Phoenix since our last monsoon storm.  Maybe she could use that excuse the next time🤣😷😷🤣😷
"
5,1300489901457186816,2020-08-31,13:45:29,EDT,,,"There isn't an outage alert open in your area at this time. What sort of issues are you seeing with the service right now? -Dustin
"
6,1300485888443645953,2020-08-31,13:29:32,EDT,,"Mountain View, CA","Hi there! Mind if we jump in? The Apps Status Dashboard ( http://google.com/appsstatus ) doesn't show any outages at this time. Can you try clearing cache and cookies?
"
7,1300484811824349184,2020-08-31,13:25:15,EDT,,"Washington, USA","So just got off the phone with XFinity, apparently there's a massive internet service outage where I live... probably won't get fixed till this afternoon at the earliest. :/ We'll try again tomorrow! Really sorry guys, I feel awful...
"
8,1300479827179384832,2020-08-31,13:05:27,EDT,,,"I know! Also power outages aren’t uncommon here. They happen at least once a week here. I was really worried
"
9,1300473355582214144,2020-08-31,12:39:44,EDT,,,"@ATT any chance someone can tell me an ETR on the outage in my area? Getting tired of listening to my flat mates complaint about it for the past three hours.
"
10,1300471324175933442,2020-08-31,12:31:39,EDT,,,"Because anybody can play online people want to have fun. You can't ever predict that something like this will happen a storm can happen and a power outage can happen at random moment internet companies can fuck you over any second
"
11,1300471166906306561,2020-08-31,12:31:02,EDT,,"Indianapolis, IN","We are showing an outage on our main AT&T circuit.  Working with them for resolution.
"
12,1300466110710427648,2020-08-31,12:10:56,EDT,,"Seattle, WA","There's nothing more depressing than an internet outage during quarantine I've literally been staring at a wall for hours since last night,,  I can barely draw digitally since I can't transfer my files to digital format jsjdhdHSHHDHD  PAINNN,,,,,
"
13,1300466109817077761,2020-08-31,12:10:56,EDT,,"Seattle, WA","There's an internet outage that's lasted for 11+ hours ongoing and I've never been more in pain,  I've been driving around my town in search of wifi,  I'm at a library. It isn't even open,  Using library wifi to send a single tweet,  And now time to slink back into the shadows,,,
"
14,1300462639319928833,2020-08-31,11:57:09,EDT,,"Reno, NV","OOF. Sorry that we don't have for our Garmin users at this time, hopefully they can resolve their outage soon. 😟
"
15,1300460680978587648,2020-08-31,11:49:22,EDT,,,"I was pointing out the irony in the outage of 17 year old in our streets, but we are willing to send 18 year olds to foreign countries, to fight in those streets.    He was attacked. And acted in self defense from everything I have seen. He shouldn’t have been there at all.
"
16,1300459180352962560,2020-08-31,11:43:24,EDT,,,"Driving through nocal with two bars of LTE and #verizon but no data, no maps. Lost at this intersection after 30 miles no data. Paying a premium for outages when there shouldn’t be and slow service at crowded destinations I spend the most time in. Time to try something different  pic.twitter.com/FCHcKUx1ez
"
17,1300458276098801665,2020-08-31,11:39:49,EDT,,,"I have Verizon and haven't had any issues. I'm also in Florida.  But we did receive an email at work that mentioned widespread outage issues impacting a lot of different types of services.  Don't know if it's a result of the hurricane blowing up through the states or what.
"
18,1300454006574198789,2020-08-31,11:22:51,EDT,,"Seattle, King County, WA, USA","We will ask them to look into this. Is it always the same RapidRide line, or different ones? We'd like to narrow it down so we can alert the vehicle maintenance team at that base. We don't have a report of wide-spread outages, so we like to be able to look at specific coaches.
"
19,1300445892168671233,2020-08-31,10:50:36,EDT,,"KS, MN, ND, SD, WI","Good morning! I know how important the internet is and I can definitely help. I don't see any outages nearby that should be causing trouble. Try unplugging the modem for about thirty seconds and if that doesn't help at all shoot me a DM with your address, please. -Scott  https://twitter.com/messages/compose?recipient_id=43974168 …
"
20,1300440660554780672,2020-08-31,10:29:49,EDT,,,"@OptimumHelp All 3 Optimum services were out from 8/4 at 2:30 p.m. until 8/13 at approx. 7 p.m. My current bill doesn't reflect any credit for the service outage. What is my bill adjusted for the credit?
"
21,1300439370445524992,2020-08-31,10:24:41,EDT,,people's republic of n. khalea,"Is anyone with AT&T experiencing intermittent outages?
"
22,1300433857116868608,2020-08-31,10:02:47,EDT,,"Washington, DC","@TDANetwork there’s millions of people sitting at home since March, how do you fuck up this bad? Outages aren’t even this bad on the worst of brokerages. Get your shit together.
"
23,1300431448604774400,2020-08-31,09:53:12,EDT,,,"@RobinhoodApp If my orders aren't getting filled during an outage, will Robinhood compensate me for my missed opportunities?  Looking at the Tesla options after the split, and the price is shooting up like a rocket while my orders are pending due to high traffic.
"
24,1300428813717864455,2020-08-31,09:42:44,EDT,,The Great State of Texas,"Is anyone else watching $TSLA right now?? The volume at open was *insane* and I don't ever remember seeing a large stock this volatile, annnnd my buddy just texted me @RobinhoodApp is having a service outage 😂 #Robinhood #stonks
"
25,1300428471827673089,2020-08-31,09:41:23,EDT,,,"All I know is @CNPalerts centerpoint energy outtaline for this power outage in a taco it’s, and ain’t shit going on with the weather. Like tf people got to go to work. Shit went off at damn near 4 this morning
"
26,1300421656893063168,2020-08-31,09:14:18,EDT,,"North Carolina, USA","This site doesn't tell anything about outages. A map would be handy since your website says not to call & ask, & when I do call & ask they say ""maybe"" & ""we don't have a status at this time"". Is there ANY information at all for 27107 & whether there's an outage? Don't say sorry.
"
27,1300417020559790080,2020-08-31,08:55:52,EDT,,support@start.ca,"We don't have any reports of issues of outages posted for downtown Toronto at the moment. Please give our Support team a call at 1-866-434-5888 and they'll be happy to assist. :)
"
28,1300401967584423936,2020-08-31,07:56:04,EDT,,South Louisiana,"My situation has gone from bad to worse. Am presently displaced by Hurricane Laura and don’t have the cash to replace the loss of perishables due to prolonged power outages at my home. Hits keep on coming.  https://twitter.com/rlamartini/status/1300400945856212994 …
"
29,1300383221406982144,2020-08-31,06:41:34,EDT,,"Ajax, Ontario","Outage due to failed equip't in @CityOfPickering affecting Grenoble Blvd., Modlin Rd.. ETR: Today at 8:45 AM. Cre...  https://elexiconenergy.com/voutages/ 
"
30,1300367756731146244,2020-08-31,05:40:07,EDT,,"Pune, India","No I'm not. Unless it's explicitly proven that servers at  http://chess.com  is at fault for the disconnection, the result stands. In Armenia's case that wasn't so. Yesterday, thousands of @chesscom users got disconnected because of server outage & supported by backend data
"
